               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.052869,            0.033131,           0.0033735,             0.67859,             0.52887,             0.57679,             0.27601,             0.06053,            0.017263,            0.010609,           0.0094605,           0.0094605,           0.0094605
                 111,             0.05032,            0.032433,           0.0035134,             0.78558,             0.57084,             0.64405,              0.3403,            0.052213,               0.017,           0.0090145,           0.0094555,           0.0094555,           0.0094555
                 112,            0.050329,            0.033297,           0.0032234,             0.71574,             0.61612,             0.66866,             0.35968,             0.05187,            0.017227,            0.005389,           0.0094506,           0.0094506,           0.0094506
                 113,            0.048643,            0.033932,            0.003129,               0.839,             0.56349,             0.65882,             0.32389,            0.053865,            0.016483,           0.0074596,           0.0094456,           0.0094456,           0.0094456
                 114,            0.049321,            0.032172,           0.0029727,             0.83336,             0.53295,             0.62427,             0.30496,            0.056768,             0.01702,            0.012714,           0.0094407,           0.0094407,           0.0094407
                 115,             0.05037,            0.032634,           0.0032143,             0.83333,             0.56143,             0.67122,             0.35658,            0.051663,            0.016597,           0.0087849,           0.0094357,           0.0094357,           0.0094357
                 116,            0.050603,            0.034928,           0.0032047,              0.7814,             0.56851,             0.65314,             0.33758,            0.051236,            0.016472,            0.008147,           0.0094307,           0.0094307,           0.0094307
                 117,            0.050038,            0.032265,           0.0029574,             0.75804,             0.53377,             0.60914,             0.28071,            0.057937,             0.01718,           0.0079109,           0.0094258,           0.0094258,           0.0094258
                 118,            0.051389,            0.032989,           0.0028944,             0.82909,             0.55934,             0.66442,             0.32981,            0.052908,            0.016143,           0.0047518,           0.0094208,           0.0094208,           0.0094208
                 119,            0.050117,            0.033591,           0.0031652,             0.61621,              0.6067,             0.61421,             0.30522,            0.053537,            0.017453,           0.0079693,           0.0094159,           0.0094159,           0.0094159
                 120,            0.050706,            0.032761,           0.0026804,             0.61148,             0.51664,             0.54491,             0.26767,            0.056802,            0.017964,           0.0074039,           0.0094109,           0.0094109,           0.0094109
